g,s,lat,lon
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358j0,40.4319,-80.05249
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358jg,40.4492,-80.0481
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358k0,40.45534782,-79.955754709
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358kg,40.4555,-80.021109
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358l0,40.4559,-79.9932
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358lg,40.4625942,-79.936886779
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358m0,40.47,-79.9935
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358mg,40.470833,-80.01277
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358n0,40.47708695,-79.955754709
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358ng,40.4838,-80.0126
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358ig,40.4318,-80.018
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358a0,40.47708695,-79.92745282
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358ag,40.406389,-79.928889
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357p0,40.397222,-79.992778
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357pg,40.438333,-79.9347219
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357q0,40.4416,-80.0048
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357qg,40.411944,-79.976389
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357r0,40.46984058,-79.96518867
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357s0,40.403611,-79.993056
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357tg,40.40462318,-80.03122639
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357u0,40.456389,-80.024167
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3581g,40.43360869,-79.9558
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35820,40.4625,-79.983889
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3582g,40.5025,-79.994722
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35830,40.4219,-80.029929
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35840,40.455282,-79.973389
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3583g,40.4346,-80.03372
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3589g,40.47708695,-79.94632075
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35890,40.43360869,-79.96518867
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3588g,40.41424,-80.03994
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35880,40.401944,-79.944444
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35870,40.4125,-79.933333
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3586g,40.469722,-79.991389
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35860,40.4615,-80.00369
